crop,production,area,yield_val,year
Rapeseed &Mustard,108.8,91.8,118.5,2007-08
Rapeseed &Mustard,134.3,99.3,135.2,2008-09
Rapeseed &Mustard,123.2,88.1,139.9,2009-10
Rapeseed &Mustard,152.5,108.8,140.2,2010-11
Rice,200.8,168.5,119.2,2006-07
Rice,207.9,168.9,123.1,2007-08
Rice,213.3,175.1,121.8,2008-09
Rice,191.6,161.2,118.9,2009-10
Rice,206.4,164.8,125.2,2010-11
Rubber ,215.5,98.6,218.5,2006-07
Rubber ,208.6,138.1,151.1,2007-08
Rubber ,216.5,143.8,151.9,2008-09
Rubber ,210.1,149.2,140.9,2009-10
Rubber ,210.1,149.2,140.9,2010-11
Safflower,67.3,55.8,120.6,2006-07
Safflower,62.8,47.4,132.6,2007-08
Safflower,53.0,43.6,121.5,2008-09
Safflower,50.1,42.6,117.5,2009-10
Safflower,42.1,36.1,116.7,2010-11
Sannhamp ,97.9,54.2,180.7,2006-07
Sannhamp ,93.0,51.4,182.7,2007-08
Sannhamp ,87.8,45.0,195.2,2008-09
Sannhamp ,69.0,45.0,179.4,2009-10
Sannhamp ,109.9,47.6,230.9,2010-11
Sesamum,95.5,74.2,128.7,2006-07
Sesamum,116.8,78.4,149.1,2007-08
Sesamum,98.8,78.8,125.4,2008-09
Sesamum,90.8,84.6,107.4,2009-10
Sesamum,137.9,90.7,151.9,2010-11
Small millets,53.9,50.9,106.0,2006-07
Small millets,61.9,52.3,118.3,2007-08
Small millets,50.0,45.6,109.7,2008-09
Small millets,42.9,41.8,102.7,2009-10
Small millets,82.0,45.0,182.4,2010-11
Soyabean,253.2,222.7,113.7,2006-07
Soyabean,313.8,237.5,132.1,2007-08
Soyabean,283.4,254.5,111.4,2008-09
Soyabean,285.1,260.3,109.5,2009-10
Soyabean,364.4,256.8,141.9,2010-11
Sugarcane,149.8,142.6,105.1,2006-07
Sugarcane,146.7,140.0,104.8,2007-08
Sugarcane,120.1,122.2,98.3,2008-09
Sugarcane,123.2,115.6,106.6,2009-10
